"sf_no","sf","task_id","start_date","end_date","duration"
3,"sf_3","create_staging_schema ","2022-12-30 00:10:34","2022-12-30 00:10:34",0
3,"sf_3","load_txt_csv_sources_to_staging ","2022-12-30 00:10:36","2022-12-30 00:10:51",15
3,"sf_3","load_finwire_to_staging ","2022-12-30 00:10:36","2022-12-30 00:10:37",1
3,"sf_3","convert_customermgmt_xml_to_csv ","2022-12-30 00:10:36","2022-12-30 00:12:10",94
3,"sf_3","parse_finwire ","2022-12-30 00:10:39","2022-12-30 00:10:49",10
3,"sf_3","load_customer_mgmt_to_staging ","2022-12-30 00:12:12","2022-12-30 00:12:12",0
3,"sf_3","create_master_schema ","2022-12-30 00:12:13","2022-12-30 00:12:14",1
3,"sf_3","transform_load_master_dimcompany ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimdate ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimtime ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_statustype ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_taxrate ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_tradetype ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_industry ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimbroker ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_dimsecurity ","2022-12-30 00:12:17","2022-12-30 00:12:22",5
3,"sf_3","transform_load_master_prospect ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_financial ","2022-12-30 00:12:17","2022-12-30 00:12:50",33
3,"sf_3","load_master_dimessages_dimcompany ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_dimcustomer ","2022-12-30 00:12:20","2022-12-30 00:12:21",1
3,"sf_3","load_master_dimessages_dimcustomer ","2022-12-30 00:12:22","2022-12-30 00:12:22",0
3,"sf_3","update_master_prospect ","2022-12-30 00:12:22","2022-12-30 00:12:23",1
3,"sf_3","transform_load_master_dimaccount ","2022-12-30 00:12:22","2022-12-30 00:12:23",1
3,"sf_3","transform_load_master_factwatches ","2022-12-30 00:12:24","2022-12-30 00:12:38",14
3,"sf_3","transform_load_master_dimtrade ","2022-12-30 00:12:24","2022-12-30 00:12:46",22
3,"sf_3","transform_load_master_factcashbalances ","2022-12-30 00:12:24","2022-12-30 00:12:33",9
3,"sf_3","transform_load_master_factholdings ","2022-12-30 00:12:47","2022-12-30 00:12:49",2
3,"sf_3","load_master_dimessages_dimtrade ","2022-12-30 00:12:47","2022-12-30 00:12:48",1
3,"sf_3","transform_load_master_factmarkethistory ","2022-12-30 00:12:51","2022-12-30 00:14:15",84
3,"sf_3","load_master_dimessages_factmarkethistory ","2022-12-30 00:14:17","2022-12-30 00:14:18",1
5,"sf_5","create_staging_schema ","2022-12-30 01:04:23","2022-12-30 01:04:24",1
5,"sf_5","load_finwire_to_staging ","2022-12-30 01:04:25","2022-12-30 01:04:27",2
5,"sf_5","convert_customermgmt_xml_to_csv ","2022-12-30 01:04:25","2022-12-30 01:08:42",257
5,"sf_5","load_txt_csv_sources_to_staging ","2022-12-30 01:04:25","2022-12-30 01:04:50",25
5,"sf_5","parse_finwire ","2022-12-30 01:04:27","2022-12-30 01:04:45",18
5,"sf_5","load_customer_mgmt_to_staging ","2022-12-30 01:08:44","2022-12-30 01:08:44",0
5,"sf_5","create_master_schema ","2022-12-30 01:08:45","2022-12-30 01:08:46",1
5,"sf_5","transform_load_master_dimtime ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","transform_load_master_dimcompany ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","load_master_taxrate ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","load_master_statustype ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","transform_load_master_dimdate ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","load_master_tradetype ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","load_master_industry ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","transform_load_master_prospect ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","transform_load_master_dimsecurity ","2022-12-30 01:08:49","2022-12-30 01:09:02",13
5,"sf_5","transform_load_master_dimbroker ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","load_master_dimessages_dimcompany ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","transform_load_master_financial ","2022-12-30 01:08:49","2022-12-30 01:10:24",95
5,"sf_5","transform_load_master_dimcustomer ","2022-12-30 01:08:52","2022-12-30 01:08:53",1
5,"sf_5","load_master_dimessages_dimcustomer ","2022-12-30 01:08:54","2022-12-30 01:08:54",0
5,"sf_5","transform_load_master_dimaccount ","2022-12-30 01:08:54","2022-12-30 01:08:55",1
5,"sf_5","update_master_prospect ","2022-12-30 01:08:54","2022-12-30 01:08:55",1
5,"sf_5","transform_load_master_factcashbalances ","2022-12-30 01:08:55","2022-12-30 01:09:01",6
5,"sf_5","transform_load_master_dimtrade ","2022-12-30 01:09:04","2022-12-30 01:09:25",21
5,"sf_5","transform_load_master_factwatches ","2022-12-30 01:09:04","2022-12-30 01:09:15",11
5,"sf_5","transform_load_master_factholdings ","2022-12-30 01:09:27","2022-12-30 01:09:29",2
5,"sf_5","load_master_dimessages_dimtrade ","2022-12-30 01:09:27","2022-12-30 01:09:27",0
5,"sf_5","transform_load_master_factmarkethistory ","2022-12-30 01:10:26","2022-12-30 01:12:56",150
5,"sf_5","load_master_dimessages_factmarkethistory ","2022-12-30 01:12:57","2022-12-30 01:12:58",1
10,"sf_10","create_staging_schema ","2022-12-30 02:57:08","2022-12-30 02:57:09",1
10,"sf_10","load_txt_csv_sources_to_staging ","2022-12-30 02:57:10","2022-12-30 02:57:57",47
10,"sf_10","convert_customermgmt_xml_to_csv ","2022-12-30 02:57:10","2022-12-30 03:13:24",974
10,"sf_10","load_finwire_to_staging ","2022-12-30 02:57:10","2022-12-30 02:57:12",2
10,"sf_10","parse_finwire ","2022-12-30 02:57:14","2022-12-30 02:57:52",38
10,"sf_10","load_customer_mgmt_to_staging ","2022-12-30 03:13:25","2022-12-30 03:13:26",1
10,"sf_10","create_master_schema ","2022-12-30 03:13:27","2022-12-30 03:13:27",0
10,"sf_10","load_master_taxrate ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","load_master_statustype ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","transform_load_master_dimcompany ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","load_master_industry ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","transform_load_master_dimtime ","2022-12-30 03:13:29","2022-12-30 03:13:30",1
10,"sf_10","transform_load_master_dimdate ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","load_master_tradetype ","2022-12-30 03:13:29","2022-12-30 03:13:29",0
10,"sf_10","transform_load_master_prospect ","2022-12-30 03:13:31","2022-12-30 03:13:32",1
10,"sf_10","transform_load_master_financial ","2022-12-30 03:13:31","2022-12-30 03:19:56",385
10,"sf_10","transform_load_master_dimbroker ","2022-12-30 03:13:31","2022-12-30 03:13:31",0
10,"sf_10","transform_load_master_dimsecurity ","2022-12-30 03:13:31","2022-12-30 03:14:15",44
10,"sf_10","load_master_dimessages_dimcompany ","2022-12-30 03:13:31","2022-12-30 03:13:31",0
10,"sf_10","transform_load_master_dimcustomer ","2022-12-30 03:13:33","2022-12-30 03:13:35",2
10,"sf_10","load_master_dimessages_dimcustomer ","2022-12-30 03:13:37","2022-12-30 03:13:37",0
10,"sf_10","update_master_prospect ","2022-12-30 03:13:37","2022-12-30 03:13:39",2
10,"sf_10","transform_load_master_dimaccount ","2022-12-30 03:13:37","2022-12-30 03:13:38",1
10,"sf_10","transform_load_master_factcashbalances ","2022-12-30 03:13:39","2022-12-30 03:13:47",8
10,"sf_10","transform_load_master_factwatches ","2022-12-30 03:14:17","2022-12-30 03:14:45",28
10,"sf_10","transform_load_master_dimtrade ","2022-12-30 03:14:17","2022-12-30 03:15:10",53
10,"sf_10","load_master_dimessages_dimtrade ","2022-12-30 03:15:11","2022-12-30 03:15:12",1
10,"sf_10","transform_load_master_factholdings ","2022-12-30 03:15:11","2022-12-30 03:15:15",4
10,"sf_10","transform_load_master_factmarkethistory ","2022-12-30 03:19:58","2022-12-30 03:25:25",327
10,"sf_10","load_master_dimessages_factmarkethistory ","2022-12-30 03:25:27","2022-12-30 03:25:28",1
20,"sf_20","create_staging_schema ","2022-12-30 04:36:59","2022-12-30 04:36:59",0
20,"sf_20","load_txt_csv_sources_to_staging ","2022-12-30 04:37:00","2022-12-30 04:38:45",105
20,"sf_20","convert_customermgmt_xml_to_csv ","2022-12-30 04:37:00","2022-12-30 05:45:27",4107
20,"sf_20","load_finwire_to_staging ","2022-12-30 04:37:00","2022-12-30 04:37:07",7
20,"sf_20","parse_finwire ","2022-12-30 04:37:08","2022-12-30 04:38:36",88
20,"sf_20","load_customer_mgmt_to_staging ","2022-12-30 05:45:29","2022-12-30 05:45:30",1
20,"sf_20","create_master_schema ","2022-12-30 05:45:32","2022-12-30 05:45:32",0
20,"sf_20","load_master_industry ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","load_master_taxrate ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","transform_load_master_dimcompany ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","transform_load_master_dimdate ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","load_master_tradetype ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","transform_load_master_dimtime ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","load_master_statustype ","2022-12-30 05:45:34","2022-12-30 05:45:35",1
20,"sf_20","load_master_dimessages_dimcompany ","2022-12-30 05:45:37","2022-12-30 05:45:37",0
20,"sf_20","transform_load_master_dimsecurity ","2022-12-30 05:45:37","2022-12-30 05:48:33",176
20,"sf_20","transform_load_master_prospect ","2022-12-30 05:45:37","2022-12-30 05:45:38",1
20,"sf_20","transform_load_master_dimbroker ","2022-12-30 05:45:37","2022-12-30 05:45:38",1
20,"sf_20","transform_load_master_dimcustomer ","2022-12-30 05:45:40","2022-12-30 05:45:43",3
20,"sf_20","update_master_prospect ","2022-12-30 05:45:44","2022-12-30 05:45:52",8
20,"sf_20","load_master_dimessages_dimcustomer ","2022-12-30 05:45:44","2022-12-30 05:45:45",1
20,"sf_20","transform_load_master_dimaccount ","2022-12-30 05:45:44","2022-12-30 05:45:47",3
20,"sf_20","transform_load_master_factcashbalances ","2022-12-30 05:45:48","2022-12-30 05:46:03",15
20,"sf_20","transform_load_master_factwatches ","2022-12-30 05:48:34","2022-12-30 05:49:20",46
20,"sf_20","transform_load_master_dimtrade ","2022-12-30 05:48:34","2022-12-30 05:49:53",79
20,"sf_20","load_master_dimessages_dimtrade ","2022-12-30 05:49:54","2022-12-30 05:49:56",2
20,"sf_20","transform_load_master_factholdings ","2022-12-30 05:49:54","2022-12-30 05:50:04",10
20,"sf_20","transform_load_master_financial ","2022-12-30 05:45:37","2022-12-30 06:11:24",1547
20,"sf_20","transform_load_master_factmarkethistory ","2022-12-30 06:11:26","2022-12-30 06:22:59",693
20,"sf_20","load_master_dimessages_factmarkethistory ","2022-12-30 06:23:01","2022-12-30 06:23:03",2
